,Delivery_Days,Days for shipment (scheduled),Benefit per order,Sales per customer,Late_Delivery_Risk,Category Id,Customer Id,Customer Zipcode,Department Id,Latitude,Longitude,Order Customer Id,Order_Date,Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Profit_Ratio,Quantity_Ordered,Total_Sales,Order_Total,Profit,Order Zipcode,Product Card Id,Product Category Id,Product Description,Unit_Price,Product Status,Ship_Date,Unit_Cost,Total_Cost,On_Time_Delivery,Customer_Satisfaction,Inventory_Level,Reorder_Point,Delivery_Date,Order_Year,Order_Month,Order_Quarter,Order_DayOfWeek,Order_WeekOfYear,Profit_Margin,Stock_Efficiency,Days_To_Reorder
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1381.0,10000.0,10000.0,0.0,10000.0,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
mean,3.5169,2.9411,23.1834260206673,184.14397892628008,0.5504,32.0035,6733.2533,35827.5409,5.4637,29.680582625547,-84.836277932065,6733.2533,2016-06-10 12:54:48.072000256,36070.9827,696.4681,20.8997460161113,0.10163800051149999,89891.9446,143.04876743841078,0.12479999985499998,2.1202,205.0434679901867,184.14397892628008,23.1834260206673,55673.45257060102,696.4681,32.0035,,143.04876743841078,0.0,2016-06-14 01:20:21.672000,92.98169883496702,133.2782540133174,0.4496,3.3925877485298175,26.327284667916572,5.278490194354445,2016-06-14 01:19:08.231999744,2015.9667,6.2207,2.4117,2.9762,25.438,11.252410018533604,0.09304737537914952,9.924931701170156
min,0.0,0.0,-1069.969971,7.489999771,0.0,2.0,2.0,603.0,2.0,17.98249054,-158.0259857,2.0,2015-01-01 00:21:00,2.0,19.0,0.0,0.0,4.0,9.989999771,-2.700000048,1.0,9.989999771,7.489999771,-1069.969971,1453.0,19.0,2.0,,9.989999771,0.0,2015-01-03 14:00:00,6.493499851150001,6.493499851150001,0.0,1.3530714647032858,5.000460782680737,0.7641580214819453,2015-01-03 03:51:00,2015.0,1.0,1.0,0.0,1.0,-264.5972749035694,0.0500105894940429,3.782828475748529
25%,2.0,2.0,6.46999979,106.5899963,0.0,18.0,3375.25,725.0,4.0,18.26537323,-98.2486877475,3375.25,2015-09-15 04:43:00,17620.0,403.0,5.5,0.039999999,44041.25,50.0,0.079999998,1.0,119.9800034,106.5899963,6.46999979,27604.0,403.0,18.0,,50.0,0.0,2015-09-18 15:29:15,32.5,77.987002184,0.0,2.456464029333291,11.50532712922579,2.2566127796493154,2015-09-18 15:29:15,2015.0,3.0,1.0,1.0,13.0,6.173279508359073,0.062111435570849347,6.9373773577177715
50%,3.0,4.0,32.11000061,165.9299927,1.0,29.0,6514.5,19380.0,5.0,33.169210435,-76.64939499,6514.5,2016-06-14 06:05:00,36325.5,627.0,14.0,0.100000001,90683.0,82.200000765,0.270000011,1.0,199.9199982,165.9299927,32.11000061,60090.0,627.0,29.0,,82.200000765,0.0,2016-06-18 11:46:30,53.43000049725,129.947998804,0.0,2.9087922651221847,17.526265132939596,3.5060387838357947,2016-06-18 14:13:30,2016.0,6.0,2.0,3.0,25.0,24.374697661217866,0.0807237415582254,9.903722089311497
75%,5.0,4.0,65.25,248.9799957,1.0,45.0,9757.0,78227.0,7.0,39.2521438625,-66.37058830250001,9757.0,2017-02-26 12:23:00,53949.0,1004.0,30.0,0.159999996,134875.5,199.9900055,0.360000014,3.0,299.9500122,248.9799957,65.25,90004.0,1004.0,45.0,,199.9900055,0.0,2017-03-02 10:22:15,129.993503575,194.96750546,1.0,4.452707030680365,36.05899272296263,7.096954280449483,2017-03-02 10:22:15,2017.0,9.0,3.0,5.0,38.0,33.7484545631623,0.11500951179277999,12.873024430307659
max,6.0,4.0,684.0,1739.98999,1.0,76.0,20723.0,99205.0,12.0,47.90808868,115.2630768,20723.0,2018-01-31 11:44:00,77170.0,1363.0,500.0,0.25,180485.0,1999.98999,0.5,5.0,1999.98999,1739.98999,684.0,99301.0,1363.0,76.0,,1999.98999,0.0,2018-02-06 11:44:00,1299.9934935,1299.9934935,1.0,5.0,99.83120417576504,24.53500189530676,2018-02-06 11:44:00,2018.0,12.0,4.0,6.0,53.0,50.003844334016904,0.19999301939043337,16.87808897643708
std,1.6208569053777606,1.3673396621817044,100.23544690813068,119.48783245560426,0.4974782291305277,15.566377836924561,4121.971676708789,37587.58769675188,1.631363982943256,9.78336645947975,21.70124947947517,4121.971676708789,,21060.869058454125,336.0639868874948,22.646575910715782,0.07063608145718941,52165.66319148211,140.68273233172297,0.4606476306105078,1.4533971227161666,132.7454619180666,119.48783245560426,100.23544690813068,31534.614881802223,336.0639868874948,15.566377836924561,,140.68273233172297,0.0,,91.44377601561995,86.28454966286944,0.4974782291305277,1.0351099757783073,21.20388546672144,4.367359509529651,,0.8292526008325803,3.3793688054653543,1.0897347668979909,2.018524462101069,14.79885997723009,41.46676141934854,0.03825747120684255,3.4715366542242307
